classification	timestamp	text	tweet_id	tweeter_id
0	Sat Jan 28 00:19:27 +0000 2017	threatmeter: [webapps] - WordPress Plugin Online Hotel Booking System Pro 1.0 - SQL Injection https://t.co/ukfA1AMeoG	825136169210015744	43
0	Sat Jan 28 15:45:06 +0000 2017	Persistent Cross-Site Scripting #vulnerability in User Access Manager #WordPress Plugin https://t.co/3XXi4WI5QR #FullDisclosure	825369115984408577	25
0	Sat Jan 28 00:13:10 +0000 2017	WPBeginner Glossary - What is a Pingback in #WordPress - https://t.co/cow9wipDG9	825134585214275585	75
0	Sat Jan 28 03:21:17 +0000 2017	#cybersecurity Your Heartbeat May Soon Become Your Password https://t.co/SUsjOnTwqF #infosec	825181929649565696	33
0	Sat Jan 28 06:07:53 +0000 2017	WordPress Releases Security Update: Original release date: January 26, 2017 WordPress 4.7.1 and prior… https://t.co/oVk1EJ1RJG #infosec	825223854578614272	48
0	Sat Jan 28 11:50:11 +0000 2017	@wordpressdotcom @WordPress WordPress 4.7.2 release addresses XSS, SQL Injection vulnerabilities https://t.co/uMhVmgCA2s #securityaffairs	825309997181583361	30
0	Sat Jan 28 10:34:29 +0000 2017	WORDPRESS 4.7.2 UPDATE FIXES XSS, SQL INJECTION BUGS https://t.co/ZpiTSE3JKQ	825290945495236608	79
0	Sat Jan 28 13:07:29 +0000 2017	RT @guedou: intelpt/WindowsIntelPT  - driver for Intel Processor Trace functionality in Intel Skylake architecture #reconbrx  https://t.co/…	825329452196433922	63
0	Sat Jan 28 00:19:30 +0000 2017	threatmeter: [webapps] - WordPress Plugin WP Private Messages 1.0.1 - SQL Injection https://t.co/I4vbBaW3ZF	825136180408762369	43
0	Sat Jan 28 13:01:20 +0000 2017	RT @FCE365: iOS 10.2 / 10.1.1 - How to Jailbreak On Windows: https://t.co/fPysusidl8 via @YouTube	825327901331566593	63
0	Sat Jan 28 10:39:16 +0000 2017	threatmeter: WORDPRESS 4.7.2 UPDATE FIXES XSS, SQL INJECTION BUGS https://t.co/GQybG25u6o	825292151248523264	43
0	Sat Jan 28 13:05:41 +0000 2017	State Chief Security Officers Share Current Plans: Advertise on IT Security News. Read the complete… https://t.co/jCDYKzPs86 #infosec	825328998788059139	48
0	Sat Jan 28 21:46:01 +0000 2017	How to Add Header and Footer Code in #WordPress - https://t.co/uYdY4Gr8bl	825459943977394176	75
0	Sun Jan 29 18:04:42 +0000 2017	Mobile Payment Security: What Your Customers Need to Know https://t.co/cNGOWoRdCO	825766633251667969	74
0	Sun Jan 29 00:57:46 +0000 2017	@charlestell117 @t_chevalier Does that text look "weird" to you? Looks ok in GTranslate. Didn't find this in HG, Pontoon, MozTransvision -NY	825508200652890113	57
0	Sun Jan 29 23:09:52 +0000 2017	"WordPress slips out three quick patches" https://t.co/rdBiMgYHkZ #infosec	825843432023171072	62
1	Sun Jan 29 04:18:35 +0000 2017	Vuln: Oracle Java SE and JRockit CVE-2016-3427 Remote Security Vulnerability https://t.co/dZ9quyGDJu	823550755793764356	79
0	Sun Jan 29 17:11:23 +0000 2017	@rwainwright67 I agree! Thanks Rob! Your Organization is making an excellent work, but people must improve awareness of cyber threats.	825753218911240193	30
0	Sun Jan 29 00:28:54 +0000 2017	@erypto Here you have instructions for Import bookmarks from Google Chrome: https://t.co/rJSigU6fxL. -GB	825500932418969601	57
0	Sun Jan 29 06:07:07 +0000 2017	#cybersecurity Ex-Mozilla Dev Suggests to Drop all AV Solutions other than Windows Defender https://t.co/uM7RJMWQHH #infosec	825586051485831168	33
0	Sun Jan 29 03:15:47 +0000 2017	CVE-2017-5485 The ISO CLNS parser in tcpdump before 4.9.0 has a buffer overflow in addrtoname.c:lookup_nsap(). (CV… https://t.co/kIevjkHtJx	825542931352317952	79
0	Mon Jan 30 08:48:05 +0000 2017	Bugtraq: Persistent Cross-Site Scripting vulnerability in User Access Manager WordPress Plugin https://t.co/AAIST7gIVQ	825988944894439426	20
0	Mon Jan 30 08:30:07 +0000 2017	Bugtraq: Persistent Cross-Site Scripting #vulnerability in User Access Manager #WordPress #Plugin https://t.co/oF9FjfFdUd #bugtraq	825984425284341760	25
0	Mon Jan 30 13:40:06 +0000 2017	@Tellee1 Hi Terence. Have you tried the steps in this article to repair Chrome if it freezes: https://t.co/qLP1HtFxKY? Keep us posted.	826062434716831744	69
0	Mon Jan 30 09:14:21 +0000 2017	threatmeter: Vuln: WordPress Prior to 4.7.2 Multiple Security Vulnerabilities https://t.co/QyD1XFfYx5	825995557655154689	43
0	Mon Jan 30 00:13:04 +0000 2017	How to Fix #WordPress Posts Returning 404 Error - https://t.co/aFJrJJ97Hv	825859339156078593	75
0	Mon Jan 30 12:24:34 +0000 2017	Judge rejects McAfee injunction against Intel https://t.co/W8SuPSTF8d	826043426504335360	74
0	Mon Jan 30 00:39:17 +0000 2017	Microsoft Reports New Subscribers For Office 365 Plunged 62% https://t.co/dNJ4pVlApn	825865935441580032	7
